Time_Step,Adj Close,Close,High,Low,Open,Volume,Day_of_Week,Month,MA_30,Target_Close,Price_Movement
0,14.620667457580566,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000.0,4,1,,14.620667457580566,0.0
1,14.620667457580566,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000.0,6,1,,14.005999565124512,-0.6146678924560547
2,14.005999565124512,14.005999565124512,14.433333396911621,13.810667037963867,14.303333282470703,80527500.0,0,1,,14.085332870483398,0.07933330535888672
3,14.085332870483398,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,93928500.0,1,1,,14.063332557678223,-0.02200031280517578
4,14.063332557678223,14.063332557678223,14.3186674118042,13.985333442687988,14.223333358764648,44526000.0,2,1,,14.041333198547363,-0.021999359130859375
5,14.041333198547363,14.041333198547363,14.25333309173584,14.000666618347168,14.187333106994629,51637500.0,3,1,,13.77733325958252,-0.26399993896484375
6,13.77733325958252,13.77733325958252,13.998666763305664,13.663999557495117,13.928000450134277,70024500.0,4,1,,13.77733325958252,0.0
7,13.77733325958252,13.77733325958252,13.998666763305664,13.663999557495117,13.928000450134277,70024500.0,5,1,,13.77733325958252,0.0
8,13.77733325958252,13.77733325958252,13.998666763305664,13.663999557495117,13.928000450134277,70024500.0,6,1,,13.480667114257812,-0.29666614532470703
9,13.480667114257812,13.480667114257812,13.631333351135254,13.283332824707031,13.536666870117188,89254500.0,0,1,,13.616666793823242,0.1359996795654297
10,13.616666793823242,13.616666793823242,13.840666770935059,13.394000053405762,13.554667472839355,67159500.0,1,1,,12.845999717712402,-0.7706670761108398
11,12.845999717712402,12.845999717712402,13.013333320617676,12.333333015441895,12.388667106628418,173278500.0,2,1,,12.791333198547363,-0.05466651916503906
12,12.791333198547363,12.791333198547363,13.050000190734863,12.666666984558105,12.965999603271484,78247500.0,3,1,,12.871333122253418,0.07999992370605469
13,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000.0,4,1,,12.871333122253418,0.0
14,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000.0,5,1,,12.871333122253418,0.0
15,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000.0,6,1,,12.871333122253418,0.0
16,12.871333122253418,12.871333122253418,12.965999603271484,12.643333435058594,12.713333129882812,54048000.0,0,1,,12.795332908630371,-0.07600021362304688
17,12.795332908630371,12.795332908630371,12.941332817077637,12.469332695007324,12.924667358398438,67548000.0,1,1,,13.104666709899902,0.30933380126953125
18,13.104666709899902,13.104666709899902,13.245332717895508,12.633999824523926,12.636667251586914,62295000.0,2,1,,13.441332817077637,0.3366661071777344
19,13.441332817077637,13.441332817077637,13.549332618713379,13.013333320617676,13.133333206176758,61753500.0,3,1,,13.419333457946777,-0.021999359130859375
20,13.419333457946777,13.419333457946777,13.566666603088379,13.222000122070312,13.352666854858398,51579000.0,4,1,,13.419333457946777,0.0
21,13.419333457946777,13.419333457946777,13.566666603088379,13.222000122070312,13.352666854858398,51579000.0,5,1,,13.419333457946777,0.0
22,13.419333457946777,13.419333457946777,13.566666603088379,13.222000122070312,13.352666854858398,51579000.0,6,1,,13.770000457763672,0.35066699981689453
23,13.770000457763672,13.770000457763672,13.907999992370605,13.403332710266113,13.45533275604248,48517500.0,0,1,,13.732000350952148,-0.03800010681152344
24,13.732000350952148,13.732000350952148,13.868666648864746,13.553333282470703,13.628000259399414,41715000.0,1,1,,13.291333198547363,-0.44066715240478516
25,13.291333198547363,13.291333198547363,13.758000373840332,13.227999687194824,13.740667343139648,47244000.0,2,1,,13.680000305175781,0.38866710662841797
26,13.680000305175781,13.680000305175781,13.732000350952148,13.100000381469727,13.404666900634766,53221500.0,3,1,,13.573332786560059,-0.10666751861572266
